Name,Price
R Laird,"$703,900"
C Oliver,"$699,800"
L Neale,"$676,200"
T Miller,"$662,400"
C Mills,"$642,400"
M Bontempelli,"$639,500"
J Macrae,"$634,400"
J Sinclair,"$626,200"
J Sicily,"$624,700"
M Gawn,"$622,100"
C Petracca,"$618,600"
Z Merrett,"$617,500"
A Brayshaw,"$615,600"
G Hewett,"$613,300"
P Cripps,"$611,900"
S Walsh,"$610,900"
D Parish,"$610,800"
J Witts,"$605,100"
J Steele,"$604,400"
T Stewart,"$604,000"
S Docherty,"$603,600"
J Dawson,"$603,100"
J Dunkley,"$596,400"
J Kelly,"$582,300"
T English,"$581,000"
O Wines,"$580,700"
T Boak,"$580,200"
S Hurn,"$577,800"
T Liberatore,"$576,900"
L Parker,"$572,100"
B Crouch,"$571,000"
H McCluggage,"$570,800"
A Saad,"$567,900"
W Brodie,"$563,600"
S Darcy,"$562,200"
B Dale,"$561,100"
R O'Brien,"$560,500"
S Coniglio,"$557,700"
L D-Uniacke,"$557,400"
I Heeney,"$557,100"
N Anderson,"$552,900"
A Witherden,"$552,400"
A Brayshaw,"$550,300"
B Keays,"$548,600"
N Vlastuin,"$548,200"
C Guthrie,"$546,300"
D Houston,"$545,100"
J Short,"$543,800"
B Smith,"$542,700"
A Hall,"$538,600"
N Naitanui,"$537,500"
M Blicavs,"$537,200"
S Ross,"$536,200"
T Green,"$534,600"
J Viney,"$533,500"
C Warner,"$532,700"
M Kennedy,"$532,400"
L Ryan,"$531,600"
D Rich,"$531,200"
T Nankervis,"$531,100"
A Treloar,"$530,600"
Z Butters,"$529,400"
T Mitchell,"$528,600"
I Cumming,"$521,200"
D Moore,"$521,000"
S Pendlebury,"$520,700"
J Crisp,"$520,300"
H Perryman,"$520,300"
T Hawkins,"$519,500"
T Lynch,"$519,100"
D Prestia,"$518,800"
C Rozee,"$513,800"
T Goldstein,"$513,300"
B Grundy,"$512,900"
M Redman,"$510,900"
T Barrass,"$510,900"
D Shiel,"$509,100"
K Amon,"$508,300"
H Young,"$508,200"
S May,"$507,400"
J Lloyd,"$507,300"
D Rioli,"$507,000"
R Marshall,"$506,500"
B Ellis,"$506,500"
B Preuss,"$506,000"
A Cerra,"$504,400"
J Ridley,"$504,300"
T Taranto,"$503,100"
N Daicos,"$502,500"
J Cameron,"$501,500"
S Taylor,"$501,300"
J Lyons,"$500,300"
J Simpkin,"$500,200"
T Walker,"$499,200"
H Himmelberg,"$499,000"
C Serong,"$498,800"
Z Tuohy,"$498,100"
M Crouch,"$498,000"
C Daniel,"$495,200"
N Hind,"$491,300"
C Dixon,"$488,200"
L McDonald,"$487,300"
O McInerney,"$487,000"
M Duncan,"$486,800"
J McGovern,"$483,400"
J Clark,"$482,300"
J Gresham,"$481,800"
M Rowell,"$481,800"
D Heppell,"$481,000"
S Bolton,"$480,800"
D Martin,"$480,400"
K Coleman,"$479,000"
A McGrath,"$478,700"
S Berry,"$478,700"
J Newcombe,"$478,200"
T Kelly,"$476,100"
N Blakey,"$475,300"
D Swallow,"$474,500"
C Curnow,"$474,200"
L Whitfield,"$473,800"
L Shuey,"$472,800"
P Lipinski,"$472,700"
J O'Meara,"$472,400"
E Gulden,"$472,000"
S Reid,"$470,900"
W Drew,"$469,800"
C Ward,"$469,200"
J De Goey,"$468,700"
J Rowbottom,"$468,500"
T Hickey,"$465,900"
D Cameron,"$465,900"
L Jackson,"$465,500"
M Flynn,"$464,300"
A Gaff,"$463,900"
J Howe,"$463,800"
J Hogan,"$463,400"
J Scrimshaw,"$463,300"
T Atkins,"$461,200"
E Richards,"$460,400"
D B-Jones,"$460,400"
P Dangerfield,"$457,300"
J Finlayson,"$456,200"
B Acres,"$456,100"
B Maynard,"$455,900"
R Lobb,"$455,200"
D Moore,"$455,100"
R Burton,"$455,000"
N Broad,"$454,700"
T Cotchin,"$454,500"
C Wilkie,"$454,000"
D Zorko,"$453,200"
B Smith,"$450,200"
L Weller,"$447,500"
R Mathieson,"$446,800"
B Cox,"$445,400"
J Caldwell,"$442,900"
T Adams,"$442,100"
T Papley,"$441,800"
N Newman,"$441,600"
L Young,"$441,300"
J Anderson,"$440,900"
R Stanley,"$438,500"
H Andrews,"$438,400"
A Naughton,"$436,800"
H McKay,"$436,700"
I Smith,"$436,300"
N Martin,"$436,000"
E Langdon,"$435,500"
L Duggan,"$435,200"
J Harmes,"$432,700"
J Aish,"$431,800"
L Meek,"$431,100"
P Wright,"$430,900"
S Switkowski,"$430,800"
S Lycett,"$429,900"
P Ladhams,"$429,400"
L Baker,"$429,400"
J Daicos,"$428,900"
T Stengle,"$427,900"
L Franklin,"$427,500"
C Jiath,"$427,500"
C Cameron,"$427,400"
Z Williams,"$425,800"
W Powell,"$425,300"
R Fox,"$425,000"
T Marshall,"$425,000"
T Doedee,"$422,300"
P Seedsman,"$422,000"
Z Bailey,"$421,100"
T Greene,"$421,000"
B Close,"$420,400"
R Bonner,"$419,500"
J Silvagni,"$419,200"
B Cunnington,"$419,000"
B Hill,"$418,400"
J Elliott,"$418,400"
H Chapman,"$417,700"
J Berry,"$417,300"
T Membrey,"$417,200"
D McKenzie,"$417,100"
H Greenwood,"$416,100"
H Morrison,"$415,600"
B Ainsworth,"$415,400"
J Graham,"$415,400"
R Sloane,"$413,800"
T De Koning,"$412,100"
J Jordon,"$411,200"
G Logue,"$410,200"
S Sidebottom,"$409,200"
J Noble,"$408,700"
S P-Pepper,"$408,400"
M Lewis,"$408,200"
B Parfitt,"$408,100"
B Frampton,"$408,000"
A Aliir,"$406,800"
J Billings,"$405,400"
Z Fisher,"$404,900"
K Farrell,"$403,300"
S Draper,"$398,700"
J Cripps,"$398,400"
J McInerney,"$397,000"
J Battle,"$394,800"
M Wood,"$393,800"
K Mcintosh,"$393,700"
J Gunston,"$393,700"
T Xerri,"$393,200"
A N-Bullen,"$392,200"
L Hunter,"$392,100"
B Hardwick,"$391,700"
C Rayner,"$390,700"
C Salem,"$390,400"
P McCartin,"$388,500"
J Hately,"$387,900"
J Riewoldt,"$387,300"
M Pickett,"$386,600"
M Pittonet,"$386,100"
I Rankine,"$386,000"
L Young,"$385,100"
B Scott,"$385,100"
B Z-Thatcher,"$384,500"
M Adams,"$384,200"
L Schultz,"$383,600"
B Starcevich,"$381,500"
M King,"$381,100"
A Corr,"$380,700"
J Bowey,"$380,500"
D Fort,"$379,900"
E Curnow,"$379,400"
S Collins,"$379,100"
J Ross,"$378,600"
J Stringer,"$378,400"
J Weitering,"$378,100"
J Stephenson,"$377,500"
W Hayward,"$377,100"
I Quaynor,"$376,700"
J Darling,"$376,500"
J Lever,"$375,700"
J Laverde,"$375,100"
M Bergman,"$374,900"
J Ceglar,"$374,400"
L McCarthy,"$374,100"
M Chol,"$373,600"
D Fogarty,"$373,400"
O Florent,"$372,900"
Z Guthrie,"$371,900"
M Hinge,"$371,800"
T Sparrow,"$371,500"
D Howard,"$370,500"
N Cumberland,"$368,800"
H McLean,"$368,200"
D Stephens,"$367,000"
T McDonald,"$365,800"
M Walters,"$365,700"
C Nash,"$365,200"
K Pickett,"$365,000"
J Payne,"$364,600"
R West,"$363,800"
K Langford,"$362,800"
L Sholl,"$362,800"
C Budarick,"$362,800"
S De Koning,"$362,600"
W Day,"$362,100"
D McStay,"$360,800"
B Fritsch,"$360,600"
M Holmes,"$360,600"
J Lukosius,"$360,400"
B Fiorini,"$360,400"
S Hayes,"$359,600"
C Ballard,"$357,000"
N Reeves,"$356,500"
J Ziebell,"$356,400"
L O'Brien,"$354,400"
L Bramble,"$354,200"
S Durham,"$354,000"
B Long,"$353,900"
N O'Driscoll,"$352,900"
J Jones,"$352,700"
C Wingard,"$352,400"
Z Jones,"$352,400"
J Sweet,"$351,800"
G Miers,"$351,200"
J Ward,"$351,200"
C Zurhaar,"$351,200"
L Breust,"$350,300"
O Markov,"$348,800"
J H-Francis,"$348,800"
N Holman,"$348,200"
W Setterfield,"$348,200"
B Hobbs,"$347,900"
J Soligo,"$347,900"
C Idun,"$345,800"
B Paton,"$345,800"
S Frost,"$345,500"
T Dumont,"$345,500"
T Jonas,"$344,500"
T O'Brien,"$344,400"
D Gardiner,"$344,400"
